qin,cin
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.02990753947853334,6.499816119414645
4.880110078416933,24.386502180790988
34.91622513666667,24.37769554051789
48.05715459466667,24.340821674046467
52.25837209066666,24.298062546274952
57.37141176533333,24.26133929114411
59.71216971533333,24.22128345465096
61.25677452,24.180706649908366
58.632213365999995,24.117814863230713
32.096649337706666,23.780593337721868
25.16307315271333,23.294013495530308
22.379682316533334,22.725197845340972
20.455091577066664,22.700677138840884
18.933654989866668,22.570196273556185
17.6870494894,22.382994912600573
16.674141159133335,22.169344960781476
15.856434057020001,21.931761356883516
15.144767278466666,21.66762157431039
14.082677515313332,21.3534738080324
12.22785107466,20.93293526206168
10.458357135313333,20.39454429772626
9.652544523006666,19.81603979276207
9.075297620506666,19.21460810878266
8.589887168333332,18.594652852660335
8.161582821333333,17.952174176801346
7.758071235333333,17.298378311289216
7.367679921533334,16.633225120752392
6.984931303933333,15.957728077079027
6.605117481866667,15.271909520700062
6.2263451664,14.576195092515464
5.848751417666667,13.871678015207559
5.472466104533334,13.159222440352936
5.09826162538,12.440025060710258
4.728353809313333,11.716697424925611
4.367100581726667,10.992472961013615
4.0192012619133335,10.27100474830066
3.6860438844666663,9.557708961476704
3.28978542298,8.86538453593421
2.7112526498333334,8.250361334643571
2.371967527326667,7.68591356884252
2.1404126824600005,7.155324455575297
1.9761530625733335,6.652697686117051
1.8550957343333332,6.175980982079734
1.7624224274266667,5.724911818580676
1.6887569063133332,5.299008167984507
1.6280193376733332,4.898365156284004
1.5761711123266666,4.523047368522269
1.5304874163466666,4.172474978101669
1.4891131816933334,3.8460888967256626
1.4507879134200001,3.5432719960922685
1.4146256770133334,3.2631380962351915
1.3800059321933333,3.0048979078132123
1.3464952928599998,2.7671861162188067
1.3137987284333335,2.548593344364158
1.28170161968,2.3479393276441414
1.25004039924,2.163947430116163
1.2187100794866668,1.995488490681109
1.1876508151266667,1.8416323310467535
1.1567833210326666,1.7009019788533
1.1260646634326668,1.5722302324686124
1.0954645794333333,1.45465179199622
1.0649643209046666,1.347259772722456
1.0345630292986667,1.2491725161427978
1.0042565355693334,1.1596267702753231
0.9742477834613333,1.0778902212898889
0.9451575755739999,1.0031445091854496
0.9159413320226667,0.9349019481554719
0.88662195292,0.8725783138286843
0.8572370562466667,0.8155521058429173
0.8278184310673333,0.7635757054386567
0.798404453878,0.7162937170762164
